time,x
16.18750,2157.00
16.21875,2155.00
16.25000,2155.00
16.28125,2154.00
16.31250,2157.00
16.34375,2151.00
16.37500,2150.00
16.40625,2154.00
16.43750,2155.00
16.46875,2152.00
16.50000,2153.00
16.53125,2156.00
16.56250,2151.00
16.59375,2153.00
16.62500,2155.00
16.65625,2149.00
16.68750,2155.00
16.71875,2150.00
16.75000,2151.00
16.78125,2150.00
16.81250,2154.00
16.84375,2149.00
16.87500,2148.00
16.90625,2153.00
16.93750,2156.00
16.96875,2154.00
17.00000,2149.00
17.03125,2149.00
17.06250,2151.00
17.09375,2160.00
17.12500,2148.00
17.15625,2148.00
17.18750,2151.00
17.21875,2154.00
17.25000,2150.00
17.28125,2146.00
17.31250,2150.00
17.34375,2148.00
17.37500,2147.00
17.40625,2150.00
17.43750,2147.00
17.46875,2150.00
17.50000,2146.00
17.53125,2149.00
17.56250,2145.00
17.59375,2148.00
17.62500,2141.00
17.65625,2147.00
17.68750,2150.00
17.71875,2145.00
17.75000,2145.00
17.78125,2144.00
17.81250,2146.00
17.84375,2141.00
17.87500,2141.00
17.90625,2145.00
17.93750,2139.00
17.96875,2144.00
18.00000,2141.00
18.03125,2144.00
18.06250,2146.00
18.09375,2145.00
18.12500,2141.00
18.15625,2140.00
18.18750,2144.00
18.21875,2142.00
18.25000,2139.00
18.28125,2141.00
18.31250,2141.00
18.34375,2142.00
18.37500,2142.00
18.40625,2143.00
18.43750,2140.00
18.46875,2141.00
18.50000,2139.00
18.53125,2138.00
18.56250,2141.00
18.59375,2142.00
18.62500,2141.00
18.65625,2139.00
18.68750,2143.00
18.71875,2139.00
18.75000,2139.00
18.78125,2141.00
18.81250,2142.00
18.84375,2143.00
18.87500,2138.00
18.90625,2138.00
18.93750,2138.00
18.96875,2141.00
19.00000,2138.00
19.03125,2141.00
19.06250,2138.00
19.09375,2139.00
19.12500,2135.00
19.15625,2143.00
19.18750,2141.00
19.21875,2139.00
19.25000,2137.00
19.28125,2137.00
19.31250,2138.00
19.34375,2135.00
19.37500,2135.00
19.40625,2140.00
19.43750,2137.00
19.46875,2139.00
19.50000,2134.00
19.53125,2140.00
19.56250,2138.00
19.59375,2137.00
19.62500,2142.00
19.65625,2128.00
19.68750,2141.00
19.71875,2135.00
19.75000,2133.00
19.78125,2135.00
19.81250,2133.00
19.84375,2138.00
19.87500,2137.00
19.90625,2135.00
19.93750,2133.00
19.96875,2134.00
20.00000,2132.00
20.03125,2137.00
20.06250,2131.00
20.09375,2137.00
20.12500,2133.00
20.15625,2134.00
20.18750,2138.00
20.21875,2134.00
20.25000,2133.00
20.28125,2135.00
20.31250,2137.00
20.34375,2135.00
20.37500,2135.00
20.40625,2137.00
20.43750,2131.00
20.46875,2133.00
20.50000,2135.00
20.53125,2134.00
20.56250,2138.00
20.59375,2135.00
20.62500,2131.00
20.65625,2133.00
20.68750,2131.00
20.71875,2142.00
20.75000,2131.00
20.78125,2128.00
20.81250,2133.00
20.84375,2133.00
20.87500,2129.00
20.90625,2131.00
20.93750,2132.00
20.96875,2129.00
21.00000,2128.00
21.03125,2135.00
21.06250,2129.00
21.09375,2135.00
21.12500,2131.00
21.15625,2131.00
21.18750,2130.00
21.21875,2131.00
21.25000,2129.00
21.28125,2130.00
21.31250,2131.00
21.34375,2130.00
21.37500,2129.00
21.40625,2130.00
21.43750,2128.00
21.46875,2133.00
21.50000,2128.00
21.53125,2128.00
21.56250,2122.00
21.59375,2129.00
21.62500,2129.00
21.65625,2131.00
21.68750,2134.00
21.71875,2131.00
21.75000,2128.00
21.78125,2129.00
21.81250,2128.00
21.84375,2128.00
21.87500,2128.00
21.90625,2128.00
21.93750,2128.00
21.96875,2129.00
22.00000,2128.00
22.03125,2129.00
22.06250,2131.00
22.09375,2128.00
22.12500,2128.00
22.15625,2130.00
22.18750,2128.00
22.21875,2128.00
