time,x,ema_signal,fir_signal
8.78125,2178.0,2179.502548636417,2183.0077558343173
8.8125,2176.0,2177.943914493212,2183.0855668312242
8.84375,2181.0,2179.3038725437327,2183.064037684727
8.875,2176.0,2177.833649261772,2182.9026715653313
8.90625,2176.0,2177.0176753402834,2182.6091978149043
8.9375,2178.0,2177.454809813857,2182.18570924081
8.96875,2176.0,2176.807419446691,2181.591595861486
9.0,2176.0,2176.4481177929138,2180.8095233871836
9.03125,2176.0,2176.2487053750674,2179.9034533956824
9.0625,2176.0,2176.138031483162,2179.003967113547
9.09375,2175.0,2175.631607473155,2178.252096102789
9.125,2173.0,2174.460542147601,2177.702173594371
9.15625,2175.0,2174.7006008919184,2177.311270006157
9.1875,2173.0,2173.9438334950146,2177.013159043732
9.21875,2179.0,2176.193827589733,2176.7432167475326
9.25,2173.0,2174.772574312302,2176.4465202658635
9.28125,2173.0,2173.9837787433275,2176.097290409869
9.3125,2174.0,2173.9909972025466,2175.7179013272857
9.34375,2174.0,2173.9950034474136,2175.352856806241
9.375,2165.0,2169.9922269133144,2175.0495308989916
9.40625,2171.0,2170.4406859368896,2174.8480806404004
9.4375,2172.0,2171.134580694974,2174.757097563766
9.46875,2175.0,2172.8546922857104,2174.694904805078
9.5,2167.0,2170.2493542185694,2174.5143848748453
9.53125,2173.0,2171.4733915913057,2174.0988962613433
9.5625,2171.0,2171.262732333175,2173.4397062157136
9.59375,2170.0,2170.700816444912,2172.640834463781
9.625,2169.0,2169.9439531269263,2171.8838099435916
9.65625,2171.0,2170.413893985444,2171.3386288384004
9.6875,2167.0,2168.894711161922,2171.0752003105135
9.71875,2170.0,2169.3865646948666,2171.0365559431607
9.75,2165.0,2167.434543405651,2171.0882180187114
9.78125,2170.0,2168.5761715901363,2171.0874346583896
9.8125,2170.0,2169.2097752325253,2170.9510872602436
9.84375,2167.0,2168.226425254052,2170.6505563113
9.875,2169.0,2168.5706660159985,2170.2163534733527
9.90625,2171.0,2169.651719638879,2169.726194849097
9.9375,2158.0,2164.466704399578,2169.256851659957
9.96875,2167.0,2165.594020941766,2168.8701191166824
10.0,2164.0,2164.88468162268,2168.6259397460303
10.03125,2166.0,2165.380998300588,2168.5243829136207
10.0625,2167.0,2166.1014540568262,2168.480435802041
10.09375,2166.0,2166.0563070015387,2168.3365331750783
10.125,2162.0,2164.2512503858543,2167.9639321554773
10.15625,2150.0,2157.909443964149,2167.351219946164
10.1875,2163.0,2160.174741400103,2166.633203303917
10.21875,2161.0,2160.541981477057,2166.0034297234133
10.25,2162.0,2161.190799719767,2165.5471450774658
10.28125,2161.0,2161.1058938444708,2165.174223882728
10.3125,2163.0,2161.948771083681,2164.681614127889
10.34375,2163.0,2162.416567951442,2163.898612344434
10.375,2160.0,2161.341195213051,2162.83035248239
10.40625,2162.0,2161.6343633432434,2161.6930311427905
10.4375,2160.0,2160.9070716555,2160.802458076663
10.46875,2162.0,2161.3934247688026,2160.402793097922
10.5,2160.0,2160.773350746685,2160.530113447987
10.53125,2160.0,2160.4292096644103,2160.9809209682967
10.5625,2160.0,2160.238211363748,2161.4641300668486
10.59375,2160.0,2160.13220730688,2161.7531766428406
10.625,2161.0,2160.5183750553183,2161.769681364695
10.65625,2164.0,2162.0676981557017,2161.5758939016932
10.6875,2160.0,2161.1475724764146,2161.284509623978
10.71875,2163.0,2161.97190272441,2160.9822577364857
10.75,2158.0,2160.204406012048,2160.714383122447
10.78125,2160.0,2160.1134453366867,2160.534497951442
10.8125,2160.0,2160.0629621618614,2160.4991727879597
10.84375,2160.0,2160.034943999833,2160.6163278711465
10.875,2157.0,2158.6843939199075,2160.8309561431647
10.90625,2160.0,2159.269838625549,2161.045404578016
10.9375,2158.0,2158.70476043718,2161.154259069908
10.96875,2157.0,2157.9461420426346,2161.0782177025485
11.0,2160.0,2158.8601088336623,2160.8105580474685
11.03125,2155.0,2157.1423604026822,2160.408612588089
11.0625,2160.0,2158.414010023489,2159.96057464728
11.09375,2160.0,2159.119775563036,2159.541629447689
11.125,2154.0,2156.841475437485,2159.174920875405
